"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","CommonProfileHash","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","SourceRunner","SourceCheckpoint","RuntimeSeconds"
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Original matched-flat KNN",1000,0.5,16,3,12,12,"24445101289437450789549484725868682949245860446224313579441701111457699094860",0.9215181315858076,0.6317960338270898,0.2897220977587178,0.2897220977587178,-0.9470425629436131,0.8531468531468531,0.6083916083916084,-0.8531468531468531,10346,9071,20.692,18.142,1,1,1,1,1,1,0.7944077983000384,,1000,1000,-1275,,8.881784197001252e-16,"9804047888925078742554917826211953957533032658409025366745281871529776130249","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",354.6432146
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Strict radius",1000,0.5,16,3,12,12,"92443631784201448913003525121475869449688466505220309964254613795273764833033",0.9215181315858076,0.6653402546149659,0.2561778769708417,0.2561778769708417,-0.9470425629436131,0.8531468531468531,0.6853146853146853,-0.8531468531468531,10346,10176,20.692,20.352,1,1,1,1,1,1,0.7944077983000384,0.7188604086360707,1000,1000,-170,,8.881784197001252e-16,"9804047888925078742554917826211953957533032658409025366745281871529776130249","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",354.6432146
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Pure KNN",1000,0.5,16,3,12,12,"84357536699072887947421645885095311472980564975528577669857093258440368051753",0.520488057849905,0.6317960338270898,-0.11130797597718478,0.11130797597718478,-0.4020015578405496,0.5524475524475524,0.6083916083916084,-0.5524475524475524,9059,9071,18.118,18.142,1,1,1,1,1,1,,,1000,1000,12,,0,"9804047888925078742554917826211953957533032658409025366745281871529776130249","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",354.6432146
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Mutual KNN",1000,0.5,16,3,12,12,"33919935545534931905574050649859200667817444125055452534978817256155589829639",0.0602793106406389,-0.24371877991892202,0.3039980905595609,0.3039980905595609,-0.022573031768520983,-0.04195804195804196,-0.13286713286713286,0.04195804195804196,6941,6929,13.882,13.858,1,1,1,1,1,1,,,1000,1000,-12,,0,"9804047888925078742554917826211953957533032658409025366745281871529776130249","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",354.6432146
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Edge-matched radius",1000,0.5,16,3,12,12,"11775864963827614315076909099036231827186386567818380021593340375159324612513",0.9215181315858076,0.775634117285578,0.14588401430022968,0.14588401430022968,-0.9470425629436131,0.8531468531468531,0.7482517482517482,-0.8531468531468531,10346,10346,20.692,20.692,1,1,1,1,1,1,0.7944077983000384,0.7248009435745616,1000,1000,0,1,0,"9804047888925078742554917826211953957533032658409025366745281871529776130249","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",354.6432146
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Original matched-flat KNN",1000,0.5,16,3,12,12,"46591902748843197351310583799440011475330261606942322256142190130685317272002",0.7398874484381021,0.42505713210275176,0.3148303163353503,0.3148303163353503,-0.8332514330632514,0.6783216783216783,0.2727272727272727,-0.6783216783216783,10232,9079,20.464,18.158,1,1,1,1,1,1,0.7906576853606369,,1000,1000,-1153,,8.881784197001252e-16,"15530873545265392714837472282507338439622078125530337618506040003240791520218","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",358.4462535
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Strict radius",1000,0.5,16,3,12,12,"113868619376719491557333409712860501062019024287267018827304747585635842310974",0.7398874484381021,0.5193468604840736,0.22054058795402842,0.22054058795402842,-0.8332514330632514,0.6783216783216783,0.44755244755244755,-0.6783216783216783,10232,10227,20.464,20.454,1,1,1,1,1,1,0.7906576853606369,0.7203256932325901,1000,1000,-5,,8.881784197001252e-16,"15530873545265392714837472282507338439622078125530337618506040003240791520218","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",358.4462535
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Pure KNN",1000,0.5,16,3,12,12,"70189175421764688429834309353345497398509666059991216885551769706504953854671",0.1360637895732098,0.42505713210275176,-0.28899334252954195,0.28899334252954195,-0.0599865608980612,0.23076923076923078,0.2727272727272727,-0.23076923076923078,9098,9079,18.196,18.158,1,1,1,1,1,1,,,1000,1000,-19,,0,"15530873545265392714837472282507338439622078125530337618506040003240791520218","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",358.4462535
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Mutual KNN",1000,0.5,16,3,12,12,"80185991637212987251360528623319558341359759637948541865687832884882664396514",0.12385748909505367,0.17793945689009824,-0.054081967795044567,0.054081967795044567,-0.08624904966136417,0.055944055944055944,0.11188811188811189,-0.055944055944055944,6902,6921,13.804,13.842,1,1,1,1,1,1,,,1000,1000,19,,0,"15530873545265392714837472282507338439622078125530337618506040003240791520218","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",358.4462535
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Edge-matched radius",1000,0.5,16,3,12,12,"12844003255811287452776043807894429020748277776352356167494373396192970909170",0.7398874484381021,0.5182831977038449,0.22160425073425716,0.22160425073425716,-0.8332514330632514,0.6783216783216783,0.44755244755244755,-0.6783216783216783,10232,10232,20.464,20.464,1,1,1,1,1,1,0.7906576853606369,0.7204502636978668,1000,1000,0,1,0,"15530873545265392714837472282507338439622078125530337618506040003240791520218","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",358.4462535
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,3,"Original matched-flat KNN",1000,0.5,16,3,12,12,"44627622843199173406528727509141417980830533691350198562111940846254832361473",0.8212922485670949,0.5882737466385332,0.23301850192856177,0.23301850192856177,-0.8858682953067862,0.9440559440559441,0.5874125874125874,-0.9440559440559441,10172,9005,20.344,18.01,1,1,1,1,1,1,0.794867758587899,,1000,1000,-1167,,8.881784197001252e-16,"74137253721084407058296003645426921099526204392838803327792289945432363172372","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_03.mx",446.8065477
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,3,"Strict radius",1000,0.5,16,3,12,12,"66690719971020644360504708262665438925818999894264625029965607395825184882459",0.8212922485670949,0.7141320039209742,0.10716024464612073,0.10716024464612073,-0.8858682953067862,0.9440559440559441,0.7272727272727273,-0.9440559440559441,10172,10190,20.344,20.38,1,1,1,1,1,1,0.794867758587899,0.7280315992266883,1000,1000,18,,8.881784197001252e-16,"74137253721084407058296003645426921099526204392838803327792289945432363172372","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_03.mx",446.8065477
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,3,"Pure KNN",1000,0.5,16,3,12,12,"32896547035590910170883773546373063950172014053094819557734869985929261711287",0.13760869643986479,0.5882737466385332,-0.45066505019866837,0.45066505019866837,-0.02674814681018162,0.16083916083916083,0.5874125874125874,-0.16083916083916083,9027,9005,18.054,18.01,1,1,1,1,1,1,,,1000,1000,-22,,0,"74137253721084407058296003645426921099526204392838803327792289945432363172372","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_03.mx",446.8065477
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,3,"Mutual KNN",1000,0.5,16,3,12,12,"84492473101887026993335915342129514137704098320409286902325941280549023085266",0.5841271488559078,0.6679864440029938,-0.08385929514708601,0.08385929514708601,-0.5721346667714079,0.5524475524475524,0.6223776223776224,-0.5524475524475524,6973,6995,13.946,13.99,1,1,1,1,1,1,,,1000,1000,22,,0,"74137253721084407058296003645426921099526204392838803327792289945432363172372","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_03.mx",446.8065477
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,3,"Edge-matched radius",1000,0.5,16,3,12,12,"65042615957557240389989320767059177559715299070522765712098260054234434015379",0.8212922485670949,0.7163087210989156,0.1049835274681793,0.1049835274681793,-0.8858682953067862,0.9440559440559441,0.6993006993006993,-0.9440559440559441,10172,10172,20.344,20.344,1,1,1,1,1,1,0.794867758587899,0.7272531032206154,1000,1000,0,1,0,"74137253721084407058296003645426921099526204392838803327792289945432363172372","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_03.mx",446.8065477
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,4,"Original matched-flat KNN",1000,0.5,16,3,12,12,"40503473851312637868296929499477834914337792935176070934895861425821570457652",0.18447249135010613,0.34008705312215465,-0.15561456177204852,0.15561456177204852,-0.29695042197940447,-0.04895104895104895,0.35664335664335667,0.04895104895104895,10225,9055,20.45,18.11,1,1,1,1,1,1,0.7962429540996289,,1000,1000,-1170,,8.881784197001252e-16,"109300620217278844037099303140017289846071157854862538026381246172534145103558","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_04.mx",396.5538151
