"Family","ParameterName","ParameterValue","Protocol","NSeeds","RhoBHMean","RhoBHSD","RhoFlatMean","RhoFlatSD","DeltaRhoMean","DeltaRhoSD","AbsDeltaRhoMean","AbsDeltaRhoSD","PearsonBHLogKMean","PearsonBHLogKSD","SpearmanRhoBHMean","SpearmanRhoBHSD","SpearmanRhoFlatMean","SpearmanRhoFlatSD","SpearmanBHLogKMean","SpearmanBHLogKSD"
"Bardeen","g",0.2,"Original matched-flat KNN",10,0.5814085116223586,0.29313988646554706,0.43200846604129967,0.20127648968862455,0.14940004558105904,0.278877864014703,0.255308800222736,0.17363232828183062,-0.6735612167585646,0.2582145644594703,0.486013986013986,0.3957387081656199,0.4076923076923077,0.16193505237593298,-0.486013986013986,0.3957387081656199
"Bardeen","g",0.2,"Strict radius",10,0.5814085116223586,0.29313988646554706,-0.09612243670520663,0.6332416872501061,0.6775309483275652,0.4354336179704297,0.6775309483275652,0.4354336179704297,-0.6735612167585646,0.2582145644594703,0.486013986013986,0.3957387081656199,-0.12237762237762237,0.605569551826293,-0.486013986013986,0.3957387081656199
"Bardeen","g",0.2,"Pure KNN",10,0.27045981031808947,0.20642354289581386,0.43200846604129967,0.20127648968862455,-0.16154865572321023,0.22163234894025266,0.21066289627905613,0.16973155466596354,-0.17271933760473843,0.20976269114769672,0.27482517482517477,0.15902322731867932,0.4076923076923077,0.16193505237593298,-0.27482517482517477,0.15902322731867932
"Bardeen","g",0.2,"Mutual KNN",10,0.36928257210588855,0.3251038533706704,-0.009624694396602036,0.43467036744662446,0.37890726650249057,0.3767603762641991,0.421709179375134,0.32229321992662946,-0.38957200224926974,0.34993553516954895,0.32727272727272727,0.34080178814554574,-0.05454545454545453,0.3879112860690976,-0.32727272727272727,0.34080178814554574
"Bardeen","g",0.2,"Edge-matched radius",10,0.5814085116223586,0.29313988646554706,-0.0949212603599697,0.6489576134882618,0.6763297719823285,0.45247434905136913,0.6763297719823285,0.45247434905136913,-0.6735612167585646,0.2582145644594703,0.486013986013986,0.3957387081656199,-0.14825174825174828,0.6249329868823422,-0.486013986013986,0.3957387081656199
"Hayward","ell",0.2,"Original matched-flat KNN",10,0.5883161342204666,0.2775404173101222,0.43200846604129967,0.20127648968862455,0.156307668179167,0.2631729062600345,0.2497519353097029,0.16462090683710653,-0.681198418819582,0.24460811432627497,0.502097902097902,0.37968586403784715,0.4076923076923077,0.16193505237593298,-0.502097902097902,0.37968586403784715
"Hayward","ell",0.2,"Strict radius",10,0.5883161342204666,0.2775404173101222,-0.09612243670520663,0.6332416872501061,0.6844385709256733,0.44109697907487355,0.6844385709256733,0.44109697907487355,-0.681198418819582,0.24460811432627497,0.502097902097902,0.37968586403784715,-0.12237762237762237,0.605569551826293,-0.502097902097902,0.37968586403784715
"Hayward","ell",0.2,"Pure KNN",10,0.24990858622218393,0.2362521916107689,0.43200846604129967,0.20127648968862455,-0.18209987981911568,0.23440020119628785,0.21582756854761015,0.2000775843231743,-0.15124615313046036,0.24207888222508267,0.24265734265734268,0.19594428333173167,0.4076923076923077,0.16193505237593298,-0.24265734265734268,0.19594428333173167
"Hayward","ell",0.2,"Mutual KNN",10,0.3916343810739679,0.3295568682856744,-0.009624694396602036,0.43467036744662446,0.40125907547057,0.3526433415526714,0.41285321563053057,0.33744573505860476,-0.41417675120345676,0.3488478072450168,0.3412587412587412,0.35394103963795126,-0.05454545454545453,0.3879112860690976,-0.3412587412587412,0.35394103963795126
"Hayward","ell",0.2,"Edge-matched radius",10,0.5883161342204666,0.2775404173101222,-0.09136156413205934,0.6380803792526668,0.679677698352526,0.4431964328143707,0.679677698352526,0.4431964328143707,-0.681198418819582,0.24460811432627497,0.502097902097902,0.37968586403784715,-0.12867132867132866,0.6175018322054148,-0.502097902097902,0.37968586403784715
