"Family","ParameterName","ParameterValue","Protocol","NSeeds","RhoBHMean","RhoBHSD","RhoBHSEM","RhoBHCI95Low","RhoBHCI95High","RhoBHMinimum","RhoBHMaximum","RhoFlatMean","RhoFlatSD","RhoFlatSEM","RhoFlatCI95Low","RhoFlatCI95High","RhoFlatMinimum","RhoFlatMaximum","DeltaRhoMean","DeltaRhoSD","DeltaRhoSEM","DeltaRhoCI95Low","DeltaRhoCI95High","DeltaRhoMinimum","DeltaRhoMaximum","AbsDeltaRhoMean","AbsDeltaRhoSD","AbsDeltaRhoSEM","AbsDeltaRhoCI95Low","AbsDeltaRhoCI95High","AbsDeltaRhoMinimum","AbsDeltaRhoMaximum","BHEdgesMean","BHEdgesSD","BHEdgesSEM","BHEdgesCI95Low","BHEdgesCI95High","BHEdgesMinimum","BHEdgesMaximum","FlatEdgesMean","FlatEdgesSD","FlatEdgesSEM","FlatEdgesCI95Low","FlatEdgesCI95High","FlatEdgesMinimum","FlatEdgesMaximum","BHMeanDegreeMean","BHMeanDegreeSD","BHMeanDegreeSEM","BHMeanDegreeCI95Low","BHMeanDegreeCI95High","BHMeanDegreeMinimum","BHMeanDegreeMaximum","FlatMeanDegreeMean","FlatMeanDegreeSD","FlatMeanDegreeSEM","FlatMeanDegreeCI95Low","FlatMeanDegreeCI95High","FlatMeanDegreeMinimum","FlatMeanDegreeMaximum"
"Bardeen","g",0.2,"Original matched-flat KNN",10,0.5814085116223586,0.29313988646554706,0.09269897142742946,0.3717088694237729,0.7911081538209443,0.041857398878318665,0.9215181315858076,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,0.14940004558105904,0.278877864014703,0.08818892392891704,-0.050097160364206667,0.3488972515263248,-0.373929211436336,0.6389254194235002,0.255308800222736,0.17363232828183062,0.054907363280865526,0.1310997150865629,0.37951788535890907,0.057948406558776144,0.6389254194235002,10171.4,98.22106585543541,31.06022823125706,10101.136882228515,10241.663117771484,9991,10346,9044.4,44.31503381722982,14.013644144983212,9012.69893452052,9076.101065479479,8977,9097,20.342800000000004,0.19644213171087108,0.0621204564625142,20.202273764457033,20.483326235542975,19.982,20.692,18.0888,0.08863006763445937,0.028027288289966337,18.02539786904104,18.15220213095896,17.954,18.194
"Bardeen","g",0.2,"Strict radius",10,0.5814085116223586,0.29313988646554706,0.09269897142742946,0.3717088694237729,0.7911081538209443,0.041857398878318665,0.9215181315858076,-0.09612243670520663,0.6332416872501061,0.2002486041078342,-0.5491162508280858,0.35687137741767255,-0.9703349143521952,0.7141320039209742,0.6775309483275652,0.4354336179704297,0.13769620025941823,0.36604050262062626,0.9890213940345042,0.10716024464612073,1.3904019187636578,0.6775309483275652,0.4354336179704297,0.13769620025941823,0.36604050262062626,0.9890213940345042,0.10716024464612073,1.3904019187636578,10171.4,98.22106585543541,31.06022823125706,10101.136882228515,10241.663117771484,9991,10346,10156.4,117.41871893167442,37.131059176322395,10072.403708521997,10240.396291478002,9967,10345,20.342800000000004,0.19644213171087108,0.0621204564625142,20.202273764457033,20.483326235542975,19.982,20.692,20.3128,0.23483743786334918,0.0742621183526449,20.144807417043996,20.480792582956003,19.934,20.69
"Bardeen","g",0.2,"Pure KNN",10,0.27045981031808947,0.20642354289581386,0.06527685582322414,0.12279330335263727,0.41812631728354166,0.034733081740081204,0.7151984658866302,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,-0.16154865572321023,0.22163234894025266,0.0700863025824404,-0.32009488712412015,-0.003002424322300329,-0.4633894647625867,0.0907263319152146,0.21066289627905613,0.16973155466596354,0.05367383035458246,0.0892442564876217,0.33208153607049057,0.03402148879267625,0.4633894647625867,9044.5,43.74484096566258,13.833333333333334,9013.206825914625,9075.793174085375,8980,9098,9044.4,44.31503381722982,14.013644144983212,9012.69893452052,9076.101065479479,8977,9097,18.088999999999995,0.0874896819313253,0.02766666666666671,18.026413651829245,18.151586348170746,17.96,18.196,18.0888,0.08863006763445937,0.028027288289966337,18.02539786904104,18.15220213095896,17.954,18.194
"Bardeen","g",0.2,"Mutual KNN",10,0.36928257210588855,0.3251038533706704,0.10280686527487275,0.13671728543950512,0.601847858772272,-0.06269992162047743,0.7646186444530397,-0.009624694396602036,0.43467036744662446,0.13745483925136412,-0.3205691435703512,0.3013197547771472,-0.736827831115216,0.6679864440029938,0.37890726650249057,0.3767603762641991,0.11914209210969098,0.1093891294457896,0.6484254035591915,-0.08385929514708601,0.9833550397238848,0.421709179375134,0.32229321992662946,0.10191806493977147,0.1911544987530974,0.6522638599971706,0.054081967795044567,0.9833550397238848,6955.5,43.74484096566258,13.833333333333334,6924.2068259146245,6986.7931740853755,6902,7020,6955.6,44.31503381722982,14.013644144983212,6923.898934520522,6987.301065479479,6903,7023,13.911000000000001,0.08748968193132513,0.027666666666666655,13.84841365182925,13.973586348170752,13.804,14.04,13.9112,0.08863006763445963,0.02802728828996642,13.847797869041042,13.974602130958957,13.806,14.046
"Bardeen","g",0.2,"Edge-matched radius",10,0.5814085116223586,0.29313988646554706,0.09269897142742946,0.3717088694237729,0.7911081538209443,0.041857398878318665,0.9215181315858076,-0.0949212603599697,0.6489576134882618,0.20521841635301158,-0.5591575708510391,0.36931505013109966,-0.9750369157563021,0.775634117285578,0.6763297719823285,0.45247434905136913,0.1430849525804374,0.3526491216138505,1.0000104223508064,0.1049835274681793,1.4097150290344187,0.6763297719823285,0.45247434905136913,0.1430849525804374,0.3526491216138505,1.0000104223508064,0.1049835274681793,1.4097150290344187,10171.4,98.22106585543541,31.06022823125706,10101.136882228515,10241.663117771484,9991,10346,10171.4,98.22106585543541,31.06022823125706,10101.136882228515,10241.663117771484,9991,10346,20.342800000000004,0.19644213171087108,0.0621204564625142,20.202273764457033,20.483326235542975,19.982,20.692,20.342800000000004,0.19644213171087108,0.0621204564625142,20.202273764457033,20.483326235542975,19.982,20.692
"Hayward","ell",0.2,"Original matched-flat KNN",10,0.5883161342204666,0.2775404173101222,0.08776598614536088,0.38977568001169044,0.7868565884292427,0.1124583724134239,0.9236515613081204,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,0.156307668179167,0.2631729062600345,0.0832225802227694,-0.031954887778319035,0.34457022413665306,-0.3033282379012308,0.6335662026539998,0.2497519353097029,0.16462090683710653,0.052057701608764204,0.13198923273662533,0.3675146378827805,0.08208346632457786,0.6335662026539998,10174,98.70719888190077,31.213956992203205,10103.389123610812,10244.610876389188,9997,10338,9044.4,44.31503381722982,14.013644144983212,9012.69893452052,9076.101065479479,8977,9097,20.348,0.1974143977638014,0.062427913984406364,20.206778247221624,20.489221752778374,19.994,20.676,18.0888,0.08863006763445937,0.028027288289966337,18.02539786904104,18.15220213095896,17.954,18.194
"Hayward","ell",0.2,"Strict radius",10,0.5883161342204666,0.2775404173101222,0.08776598614536088,0.38977568001169044,0.7868565884292427,0.1124583724134239,0.9236515613081204,-0.09612243670520663,0.6332416872501061,0.2002486041078342,-0.5491162508280858,0.35687137741767255,-0.9703349143521952,0.7141320039209742,0.6844385709256733,0.44109697907487355,0.13948711228962318,0.3688968007416647,0.9999803411096819,0.10937530775346316,1.3850427019941574,0.6844385709256733,0.44109697907487355,0.13948711228962318,0.3688968007416647,0.9999803411096819,0.10937530775346316,1.3850427019941574,10174,98.70719888190077,31.213956992203205,10103.389123610812,10244.610876389188,9997,10338,10156.4,117.41871893167442,37.131059176322395,10072.403708521997,10240.396291478002,9967,10345,20.348,0.1974143977638014,0.062427913984406364,20.206778247221624,20.489221752778374,19.994,20.676,20.3128,0.23483743786334918,0.0742621183526449,20.144807417043996,20.480792582956003,19.934,20.69
"Hayward","ell",0.2,"Pure KNN",10,0.24990858622218393,0.2362521916107689,0.07470950276965539,0.08090394940271564,0.41891322304165224,-0.021800973626000617,0.733655998528458,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,-0.18209987981911568,0.23440020119628785,0.07412385197819946,-0.3497796825057935,-0.014420077132437897,-0.5467622569423818,0.079038333020746,0.21582756854761015,0.2000775843231743,0.06327008752056293,0.07270068687209941,0.3589544502231209,0.012016625229229472,0.5467622569423818,9045.5,44.66728855288473,14.125036873108215,9013.54694666271,9077.45305333729,8980,9102,9044.4,44.31503381722982,14.013644144983212,9012.69893452052,9076.101065479479,8977,9097,18.091,0.08933457710576945,0.02825007374621643,18.02709389332542,18.15490610667458,17.96,18.204,18.0888,0.08863006763445937,0.028027288289966337,18.02539786904104,18.15220213095896,17.954,18.194
"Hayward","ell",0.2,"Mutual KNN",10,0.3916343810739679,0.3295568682856744,0.10421503223348412,0.155883599435746,0.6273851627121898,-0.012450517177272769,0.7933063944312383,-0.009624694396602036,0.43467036744662446,0.13745483925136412,-0.3205691435703512,0.3013197547771472,-0.736827831115216,0.6679864440029938,0.40125907547057,0.3526433415526714,0.11151561609991403,0.14899322574629464,0.6535249251948454,-0.042556870679157144,1.0120427897020834,0.41285321563053057,0.33744573505860476,0.10670971094949236,0.1714590786660104,0.6542473525950507,0.015413830120645844,1.0120427897020834,6954.5,44.66728855288473,14.125036873108215,6922.546946662709,6986.453053337291,6898,7020,6955.6,44.31503381722982,14.013644144983212,6923.898934520522,6987.301065479479,6903,7023,13.909,0.08933457710576936,0.0282500737462164,13.84509389332542,13.972906106674582,13.796,14.04,13.9112,0.08863006763445963,0.02802728828996642,13.847797869041042,13.974602130958957,13.806,14.046
"Hayward","ell",0.2,"Edge-matched radius",10,0.5883161342204666,0.2775404173101222,0.08776598614536088,0.38977568001169044,0.7868565884292427,0.1124583724134239,0.9236515613081204,-0.09136156413205934,0.6380803792526668,0.20177873287024753,-0.5478167699948354,0.3650936417307167,-0.976534075275169,0.7702988643494617,0.679677698352526,0.4431964328143707,0.14015101785552006,0.36263406943720217,0.9967213272678499,0.10710508345227099,1.3368286255465227,0.679677698352526,0.4431964328143707,0.14015101785552006,0.36263406943720217,0.9967213272678499,0.10710508345227099,1.3368286255465227,10174,98.70719888190077,31.213956992203205,10103.389123610812,10244.610876389188,9997,10338,10174,98.70719888190077,31.213956992203205,10103.389123610812,10244.610876389188,9997,10338,20.348,0.1974143977638014,0.062427913984406364,20.206778247221624,20.489221752778374,19.994,20.676,20.348,0.1974143977638014,0.062427913984406364,20.206778247221624,20.489221752778374,19.994,20.676
