"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","CommonProfileHash","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","SourceRunner","SourceCheckpoint","RuntimeSeconds"
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,1,"Original matched-flat KNN",1000,0.5,16,3,12,12,"12161218683939968261843192075081855339238509864328468821944560432772989696341",0.9232803898040025,0.6317960338270898,0.2914843559769127,0.2914843559769127,-0.9549338050728907,0.8461538461538461,0.6083916083916084,-0.8461538461538461,10336,9071,20.672,18.142,1,1,1,1,1,1,0.795093971514917,,1000,1000,-1265,,1.3322676295501878e-15,"99371848616911522096806455282549278599868343115155763914014700963474468378014","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_01.mx",131.5373795
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,2,"Original matched-flat KNN",1000,0.5,16,3,12,12,"22585474792488429509343863429095514210264927176899008405971149392389314049983",0.7300554602934374,0.4250571321027517,0.3049983281906857,0.3049983281906857,-0.8295586173099149,0.6783216783216783,0.2727272727272727,-0.6783216783216783,10236,9079,20.472,18.158,1,1,1,1,1,1,0.7916049256676947,,1000,1000,-1157,,1.1102230246251565e-15,"49736366410430597338970392530980408276134590510005571969772151910015984708492","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_02.mx",134.5378891
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,3,"Original matched-flat KNN",1000,0.5,16,3,12,12,"14416272306917376955406675733887111913547400432632566957766737218617592636360",0.8281421977420863,0.5882737466385332,0.23986845110355315,0.23986845110355315,-0.8964577889231752,0.9230769230769231,0.5874125874125874,-0.9230769230769231,10165,9005,20.33,18.01,1,1,1,1,1,1,0.7953209233491141,,1000,1000,-1160,,1.3322676295501878e-15,"97863944145500873139223748423947458788933076078773546060991531665688817132289","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_03.mx",140.3143212
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,4,"Original matched-flat KNN",1000,0.5,16,3,12,12,"113760860516332868828800953953941553197420765539997879729421130340052479644882",0.21245068728094937,0.3400870531221547,-0.12763636584120533,0.12763636584120533,-0.3262431575558699,-0.02097902097902098,0.35664335664335667,0.02097902097902098,10240,9055,20.48,18.11,1,1,1,1,1,1,0.7976202332072396,,1000,1000,-1185,,1.3322676295501878e-15,"15660476439812593208302989428396974682614341762431424979885388678352130438979","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_04.mx",234.0074291
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,5,"Original matched-flat KNN",1000,0.5,16,3,12,12,"91403970477118309785113783277148335600986204649919347344319504788226581923905",0.13478501421536987,0.4157866103146547,-0.2810015960992848,0.2810015960992848,-0.29795090306024974,-0.0979020979020979,0.27972027972027974,0.0979020979020979,10118,8977,20.236,17.954,1,1,1,1,1,1,0.8022515352005237,,1000,1000,-1141,,1.3322676295501878e-15,"78534520719697876961749643432398730015630521918169754525127015597790307847482","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_05.mx",261.4536997
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,6,"Original matched-flat KNN",1000,0.5,16,3,12,12,"31440894230156384479290312601606921502113907609333182914118106984273195298059",0.4175053238175561,0.3287561206470146,0.08874920317054152,0.08874920317054152,-0.5584764186000307,0.26573426573426573,0.4195804195804196,-0.26573426573426573,10173,9048,20.346,18.096,1,1,1,1,1,1,0.7961464190314037,,1000,1000,-1125,,1.3322676295501878e-15,"13853633519420292396913931920262013393583539931195806273891280782264050222185","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_06.mx",274.2972459
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,7,"Original matched-flat KNN",1000,0.5,16,3,12,12,"74343999303750127103480507060864978040716725866852783588519565157388035057605",0.750253517956332,0.6602093226585699,0.09004419529776209,0.09004419529776209,-0.8464432003630401,0.6363636363636364,0.5384615384615384,-0.6363636363636364,10056,9093,20.112,18.186,1,1,1,1,1,1,0.7899363552358623,,1000,1000,-963,,1.3322676295501878e-15,"64244894596494993772286199935683062573638425555147986539872090189549522803189","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_07.mx",276.0803362
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,8,"Original matched-flat KNN",1000,0.5,16,3,12,12,"14062008425767416495860326908102065622766564171417198179769264501884449602097",0.7341789045121724,0.656072513135961,0.07810639137621134,0.07810639137621134,-0.8272090862058141,0.8461538461538461,0.5804195804195804,-0.8461538461538461,10152,9041,20.304,18.082,1,1,1,1,1,1,0.7874691859184492,,1000,1000,-1111,,1.3322676295501878e-15,"58850870843234542258305540599812812772463936043447085837549727399601033290","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_08.mx",293.5970885
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,9,"Original matched-flat KNN",1000,0.5,16,3,12,12,"32616772229170221506276874128331889285426045723799169005504735003671089728978",0.4916424763255986,0.1846725755500778,0.3069699007755208,0.3069699007755208,-0.626515413757144,0.15384615384615385,0.2727272727272727,-0.15384615384615385,10000,9097,20,18.194,1,1,1,1,1,1,0.7763326196190593,,1000,1000,-903,,1.3322676295501878e-15,"77022013531280082820439167794530021974250301503984544208599837578065198307366","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_09.mx",289.0916952
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,10,"Original matched-flat KNN",1000,0.5,16,3,12,12,"75638274382003726566928912333695778023381424148494087352119883888175427479453",0.6995977810411369,0.08937355241618929,0.6102242286249476,0.6102242286249476,-0.7185288892749858,0.6993006993006993,0.16083916083916083,-0.6993006993006993,10236,8978,20.472,17.956,1,1,1,1,1,1,0.8037518399677501,,1000,1000,-1258,,1.3322676295501878e-15,"108240884125004908304278194096341574593571525827976375410497649452000283939383","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_10.mx",275.5133411
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.1,1,"Original matched-flat KNN",1000,0.5,16,3,12,12,"115278187936662010826944027500687443933437717352204714543916643913640337726652",0.9249206483755809,0.6317960338270898,0.29312461454849104,0.29312461454849104,-0.9560361125946095,0.8811188811188811,0.6083916083916084,-0.8811188811188811,10342,9071,20.684,18.142,1,1,1,1,1,1,0.7950818031809836,,1000,1000,-1271,,8.881784197001252e-16,"9804047888925078742554917826211953957533032658409025366745281871529776130249","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_01.mx",283.0828693
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.1,2,"Original matched-flat KNN",1000,0.5,16,3,12,12,"107148780292927630180185174070213666664931530087034932766732928715266059359444",0.7312218428875205,0.42505713210275176,0.3061647107847687,0.3061647107847687,-0.8289827875668104,0.6783216783216783,0.2727272727272727,-0.6783216783216783,10241,9079,20.482,18.158,1,1,1,1,1,1,0.7915234827725446,,1000,1000,-1162,,8.881784197001252e-16,"15530873545265392714837472282507338439622078125530337618506040003240791520218","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_02.mx",280.7231273
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.1,3,"Original matched-flat KNN",1000,0.5,16,3,12,12,"52452062945932367853647176956002640799696717285270009351819206177926978133990",0.8235073116744374,0.5882737466385332,0.2352335650359042,0.2352335650359042,-0.8911253744521478,0.9230769230769231,0.5874125874125874,-0.9230769230769231,10171,9005,20.342,18.01,1,1,1,1,1,1,0.7953129232784357,,1000,1000,-1166,,8.881784197001252e-16,"74137253721084407058296003645426921099526204392838803327792289945432363172372","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_03.mx",280.0359328
