"Family","ProtocolA","ProtocolB","NPairedSeeds","AbsDeltaContrastMean","AbsDeltaContrastSD","AbsDeltaContrastSEM","AbsDeltaContrastCI95Low","AbsDeltaContrastCI95High","AbsDeltaContrastMinimum","AbsDeltaContrastMaximum","SignedDeltaContrastMean","SignedDeltaContrastSD","SignedDeltaContrastSEM","SignedDeltaContrastCI95Low","SignedDeltaContrastCI95High","SignedDeltaContrastMinimum","SignedDeltaContrastMaximum"
"Bardeen","Original matched-flat KNN","Strict radius",10,-0.4222221481048293,0.4374919176155468,0.13834709175798687,-0.7351850126774597,-0.10925928353219877,-0.9991928439302529,0.12585825728244104,-0.5281309027465063,0.5523339570079804,0.17466333331987385,-0.9232468132942693,-0.1330149921987433,-1.31042196747435,0.12585825728244104
"Bardeen","Original matched-flat KNN","Pure KNN",10,0.04464590394367984,0.24581853480971588,0.07773464610840877,-0.13120208254804067,0.22049389043540035,-0.3518817737458123,0.5481990875082856,0.31094870130426927,0.2821643545777555,0.08922820349770656,0.10910048163831654,0.512796920970222,0.007124317138237524,0.6836835521272302
"Bardeen","Original matched-flat KNN","Mutual KNN",10,-0.16640037915239805,0.41176010463867624,0.130209978024748,-0.4609558136088786,0.12815505530408253,-0.8718473487071104,0.2978609100152493,-0.22950722092143155,0.45239594131975464,0.14306015787863052,-0.5531317817776176,0.09411733993475452,-0.8718473487071104,0.3689122841303949
"Bardeen","Original matched-flat KNN","Edge-matched radius",10,-0.42102097175959247,0.45553987368110777,0.14405435658576926,-0.7468945663423772,-0.09514737717680777,-1.0038948453343597,0.14383808345848814,-0.5269297264012693,0.5680608143306959,0.17963660227750172,-0.9332959529440522,-0.12056349985848647,-1.3151239688784568,0.14383808345848814
"Bardeen","Strict radius","Pure KNN",10,0.4668680520485092,0.5198189695341329,0.16438119146895358,0.09501196233771264,0.8387241417593057,-0.34350480555254764,1.2996755868484433,0.8390796040507755,0.399673634948007,0.12638790071543746,0.5531703091563203,1.1249888989452308,0.285328603194949,1.3204558036710778
"Bardeen","Strict radius","Mutual KNN",10,0.25582176895243136,0.35445419805800826,0.11208825920717377,0.0022605105213413523,0.5093830273835214,-0.33402502608608675,0.8002675437443307,0.29862368182507476,0.37174167718713597,0.11755504011224054,0.03269570581213954,0.56455165783801,-0.33402502608608675,0.9524041465865041
"Bardeen","Strict radius","Edge-matched radius",10,0.0012011763452368985,0.0480059565573279,0.015180816397625174,-0.03314021620577533,0.03554256889624913,-0.08307951679067738,0.11029386267061203,0.0012011763452368985,0.0480059565573279,0.015180816397625174,-0.03314021620577533,0.03554256889624913,-0.08307951679067738,0.11029386267061203
"Bardeen","Pure KNN","Mutual KNN",10,-0.2110462830960779,0.38842430779518944,0.12283055112070941,-0.48890829412424175,0.06681572793208598,-0.6945353161171246,0.36680575505158236,-0.5404559222257007,0.37816343131724905,0.1195857770747156,-0.810977744404058,-0.2699341000473435,-1.4467445044864715,-0.17328631658328272
"Bardeen","Pure KNN","Edge-matched radius",10,-0.46566687570327225,0.5342148619745903,0.16893357237521814,-0.847821166488961,-0.08351258491758357,-1.3189886971192042,0.3456815227304891,-0.8378784277055387,0.4144305480232804,0.13105444637053584,-1.1343441822791995,-0.5414126731318778,-1.3251578050751847,-0.25719199027741446
"Bardeen","Mutual KNN","Edge-matched radius",10,-0.2546205926071944,0.373082628399799,0.11797908611855853,-0.5215078273306779,0.012266642116289084,-0.8056528613396504,0.3323557511489692,-0.2974225054798379,0.38985317772514955,0.12328239946658932,-0.5763066684801326,-0.01853834247954328,-0.9577894641818238,0.3323557511489692
"Hayward","Original matched-flat KNN","Strict radius",10,-0.4346866356159704,0.44030161558004793,0.13923559626848311,-0.7496594370311984,-0.11971383420074228,-0.9826357719714527,0.12585825728244104,-0.5281309027465063,0.5523339570079804,0.17466333331987385,-0.9232468132942693,-0.1330149921987433,-1.3104219674743498,0.12585825728244104
"Hayward","Original matched-flat KNN","Pure KNN",10,0.033924366762092706,0.2863792543685888,0.09056107184254661,-0.17093901057720692,0.23878774410139234,-0.4494551647764409,0.6145612538808991,0.3384075479982827,0.28251083648665704,0.08933777069772375,0.13631147010600334,0.5405036258905621,0.004499980932081038,0.6804902102458323
"Hayward","Original matched-flat KNN","Mutual KNN",10,-0.16310128032082766,0.4110002119544477,0.1299696788588019,-0.4571131202978488,0.13091055965619347,-0.9147356975361425,0.28791440778058497,-0.2449514072914029,0.43476991494060213,0.13748631893299726,-0.5559670684524411,0.06606425386963527,-0.9147356975361425,0.27779043571506135
"Hayward","Original matched-flat KNN","Edge-matched radius",10,-0.42992576304282315,0.4507660209687956,0.14254473180726135,-0.7523843491197686,-0.10746717696587776,-0.9888349328944266,0.1385028305223719,-0.523370030173359,0.5613440413847159,0.17751257217395214,-0.9249313668033982,-0.12180869354331991,-1.3166211283973237,0.1385028305223719
"Hayward","Strict radius","Pure KNN",10,0.4686110023780631,0.5396843285732543,0.17066316957901737,0.08254409088904424,0.8546779138670819,-0.3358813374564649,1.3660377532210568,0.866538450744789,0.4463777412668075,0.14115703592044462,0.5472190508579917,1.1858578506315862,0.2678154072943557,1.404047650767258
"Hayward","Strict radius","Mutual KNN",10,0.2715853552951427,0.38050273766796117,0.12032553069603029,-0.000609905836377489,0.543780616426663,-0.3769133749151188,0.9315229885798768,0.28317949545510335,0.382349921515344,0.12090966151751056,0.00966283860176037,0.5566961523084464,-0.3769133749151188,0.9623506488211686
"Hayward","Strict radius","Edge-matched radius",10,0.004760872573147274,0.050689551555363116,0.01602944364874781,-0.03150024819253778,0.04102199333883232,-0.08967546104381541,0.10495860973449578,0.004760872573147274,0.050689551555363116,0.01602944364874781,-0.03150024819253778,0.04102199333883232,-0.08967546104381541,0.10495860973449578
