"Family","ParameterName","ParameterValue","Seed","Protocol","N","k","GraphShellRadius","BinsRequested","CommonBins","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","CommonProfileHash","SourceCheckpoint"
"Bardeen","g",0,1,"Original matched-flat KNN",1000,16,3,12,12,10336,9071,20.672,18.142,1,1,1,1,1,1,0.795093971514917,,-1265,,1.3322676295501878e-15,9.937184861691152e+76,1.2161218683939968e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_01.mx"
"Bardeen","g",0,2,"Original matched-flat KNN",1000,16,3,12,12,10236,9079,20.472,18.158,1,1,1,1,1,1,0.7916049256676947,,-1157,,1.1102230246251565e-15,4.97363664104306e+76,2.258547479248843e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_02.mx"
"Bardeen","g",0,3,"Original matched-flat KNN",1000,16,3,12,12,10165,9005,20.33,18.01,1,1,1,1,1,1,0.7953209233491141,,-1160,,1.3322676295501878e-15,9.786394414550087e+76,1.4416272306917376e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_03.mx"
"Bardeen","g",0,4,"Original matched-flat KNN",1000,16,3,12,12,10240,9055,20.48,18.11,1,1,1,1,1,1,0.7976202332072396,,-1185,,1.3322676295501878e-15,1.5660476439812592e+76,1.1376086051633287e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_04.mx"
"Bardeen","g",0,5,"Original matched-flat KNN",1000,16,3,12,12,10118,8977,20.236,17.954,1,1,1,1,1,1,0.8022515352005237,,-1141,,1.3322676295501878e-15,7.853452071969787e+76,9.140397047711831e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_05.mx"
"Bardeen","g",0,6,"Original matched-flat KNN",1000,16,3,12,12,10173,9048,20.346,18.096,1,1,1,1,1,1,0.7961464190314037,,-1125,,1.3322676295501878e-15,1.3853633519420293e+76,3.1440894230156384e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_06.mx"
"Bardeen","g",0,7,"Original matched-flat KNN",1000,16,3,12,12,10056,9093,20.112,18.186,1,1,1,1,1,1,0.7899363552358623,,-963,,1.3322676295501878e-15,6.424489459649499e+76,7.434399930375013e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_07.mx"
"Bardeen","g",0,8,"Original matched-flat KNN",1000,16,3,12,12,10152,9041,20.304,18.082,1,1,1,1,1,1,0.7874691859184492,,-1111,,1.3322676295501878e-15,5.885087084323455e+73,1.4062008425767417e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_08.mx"
"Bardeen","g",0,9,"Original matched-flat KNN",1000,16,3,12,12,10000,9097,20,18.194,1,1,1,1,1,1,0.7763326196190593,,-903,,1.3322676295501878e-15,7.702201353128008e+76,3.261677222917022e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_09.mx"
"Bardeen","g",0,10,"Original matched-flat KNN",1000,16,3,12,12,10236,8978,20.472,17.956,1,1,1,1,1,1,0.8037518399677501,,-1258,,1.3322676295501878e-15,1.082408841250049e+77,7.563827438200372e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_10.mx"
"Bardeen","g",0.1,1,"Original matched-flat KNN",1000,16,3,12,12,10342,9071,20.684,18.142,1,1,1,1,1,1,0.7950818031809836,,-1271,,8.881784197001252e-16,9.804047888925079e+75,1.1527818793666201e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_01.mx"
"Bardeen","g",0.1,2,"Original matched-flat KNN",1000,16,3,12,12,10241,9079,20.482,18.158,1,1,1,1,1,1,0.7915234827725446,,-1162,,8.881784197001252e-16,1.5530873545265394e+76,1.0714878029292763e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_02.mx"
"Bardeen","g",0.1,3,"Original matched-flat KNN",1000,16,3,12,12,10171,9005,20.342,18.01,1,1,1,1,1,1,0.7953129232784357,,-1166,,8.881784197001252e-16,7.413725372108441e+76,5.2452062945932366e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_03.mx"
"Bardeen","g",0.1,4,"Original matched-flat KNN",1000,16,3,12,12,10230,9055,20.46,18.11,1,1,1,1,1,1,0.797133805480695,,-1175,,8.881784197001252e-16,1.0930062021727885e+77,5.992185704122328e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_04.mx"
"Bardeen","g",0.1,5,"Original matched-flat KNN",1000,16,3,12,12,10123,8977,20.246,17.954,1,1,1,1,1,1,0.8020158380962744,,-1146,,8.881784197001252e-16,3.6137525681300234e+76,1.9659341445633466e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_05.mx"
"Bardeen","g",0.1,6,"Original matched-flat KNN",1000,16,3,12,12,10183,9048,20.366,18.096,1,1,1,1,1,1,0.7960960207547636,,-1135,,8.881784197001252e-16,1.0778629044762434e+77,6.592718842661488e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_06.mx"
"Bardeen","g",0.1,7,"Original matched-flat KNN",1000,16,3,12,12,10052,9093,20.104,18.186,1,1,1,1,1,1,0.7896791802501185,,-959,,8.881784197001252e-16,1.335246562863172e+76,5.981525551774026e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_07.mx"
"Bardeen","g",0.1,8,"Original matched-flat KNN",1000,16,3,12,12,10156,9041,20.312,18.082,1,1,1,1,1,1,0.7873661482148561,,-1115,,8.881784197001252e-16,3.113810890554713e+76,1.0420463713847306e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_08.mx"
"Bardeen","g",0.1,9,"Original matched-flat KNN",1000,16,3,12,12,9995,9097,19.99,18.194,1,1,1,1,1,1,0.7760441184878972,,-898,,8.881784197001252e-16,2.1619982498812847e+75,4.38095747567824e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_09.mx"
"Bardeen","g",0.1,10,"Original matched-flat KNN",1000,16,3,12,12,10234,8978,20.468,17.956,1,1,1,1,1,1,0.8035004877197018,,-1256,,8.881784197001252e-16,6.989702763945915e+76,1.0699917022464814e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_10.mx"
"Bardeen","g",0.2,1,"Original matched-flat KNN",1000,16,3,12,12,10346,9071,20.692,18.142,1,1,1,1,1,1,0.7944077983000384,,-1275,,8.881784197001252e-16,9.804047888925079e+75,2.4445101289437452e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_01.mx"
