"Family","ParameterName","ParameterValue","Seed","Protocol","RuntimeSeconds","SourceCheckpoint"
"Bardeen","g",0,1,"Original matched-flat KNN",131.5373795,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_01.mx"
"Bardeen","g",0,2,"Original matched-flat KNN",134.5378891,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_02.mx"
"Bardeen","g",0,3,"Original matched-flat KNN",140.3143212,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_03.mx"
"Bardeen","g",0,4,"Original matched-flat KNN",234.0074291,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_04.mx"
"Bardeen","g",0,5,"Original matched-flat KNN",261.4536997,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_05.mx"
"Bardeen","g",0,6,"Original matched-flat KNN",274.2972459,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_06.mx"
"Bardeen","g",0,7,"Original matched-flat KNN",276.0803362,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_07.mx"
"Bardeen","g",0,8,"Original matched-flat KNN",293.5970885,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_08.mx"
"Bardeen","g",0,9,"Original matched-flat KNN",289.0916952,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_09.mx"
"Bardeen","g",0,10,"Original matched-flat KNN",275.5133411,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p\seed_10.mx"
"Bardeen","g",0.1,1,"Original matched-flat KNN",283.0828693,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_01.mx"
"Bardeen","g",0.1,2,"Original matched-flat KNN",280.7231273,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_02.mx"
"Bardeen","g",0.1,3,"Original matched-flat KNN",280.0359328,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_03.mx"
"Bardeen","g",0.1,4,"Original matched-flat KNN",283.2998718,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_04.mx"
