"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","CommonProfileHash","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","SourceRunner","SourceCheckpoint","RuntimeSeconds"
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Original matched-flat KNN",250,0.5,16,3,12,12,"71286955775036892704079658416805895466174405727343273214641740697927314080443",-0.33167201840494226,0.703135501560563,-1.0348075199655054,1.0348075199655054,0.35700454617719773,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,1.6458093898232309,,250,250,-243,,8.881784197001252e-16,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",34.2907896
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Strict radius",250,0.5,16,3,12,12,"58734195534730057716625932437702113916987597751640172855656119937466635520735",-0.33167201840494226,-0.7908412005615962,0.459169182156654,0.459169182156654,0.35700454617719773,-0.27972027972027974,-0.6783216783216783,0.27972027972027974,2549,2496,20.392,19.968,1,1,1,1,1,1,1.6458093898232309,1.4856284532322819,250,250,-53,,8.881784197001252e-16,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",34.2907896
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Pure KNN",250,0.5,16,3,12,12,"27271888361329910189470946181672176725498015950519698340281764399351541930927",0.3667693141739847,0.7031355015605633,-0.3363661873865786,0.3363661873865786,-0.45974517860355135,0.11888111888111888,0.7832167832167832,-0.11888111888111888,2292,2306,18.336,18.448,1,1,1,1,1,1,,,250,250,14,,0,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",34.2907896
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Mutual KNN",250,0.5,16,3,12,12,"18490505168653527969413293119880077853256909869695406204139542007833008306863",0.695502498790463,0.2661134747038717,0.4293890240865913,0.4293890240865913,-0.7457345747772811,0.6013986013986014,0.14685314685314685,-0.6013986013986014,1708,1694,13.664,13.552,1,1,1,1,1,1,,,250,250,-14,,0,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",34.2907896
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Edge-matched radius",250,0.5,16,3,12,12,"98857672791914859631724934299302711954741332968334427872687839649419136880815",-0.33167201840494226,-0.8935847416599269,0.5619127232549845,0.5619127232549845,0.35700454617719773,-0.27972027972027974,-0.8531468531468531,0.27972027972027974,2549,2549,20.392,20.392,1,1,1,1,1,1,1.6458093898232309,1.4985010967595411,250,250,0,1,0,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_01.mx",34.2907896
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Original matched-flat KNN",250,0.5,16,3,12,12,"10770978852781891954643680751637907869015928400176794095815456383624164849162",0.4784580624321115,0.6849819794483124,-0.20652391701620093,0.20652391701620093,-0.5092111267341557,0.4125874125874126,0.7272727272727273,-0.4125874125874126,2534,2320,20.272,18.56,1,1,1,1,1,1,1.6502742624227382,,250,250,-214,,8.881784197001252e-16,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",30.9802768
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Strict radius",250,0.5,16,3,12,12,"108391725673633151741168585544657922843170793590199919766209781261160733005991",0.4784580624321115,0.2059739640521545,0.27248409837995696,0.27248409837995696,-0.5092111267341557,0.4125874125874126,0.2937062937062937,-0.4125874125874126,2534,2524,20.272,20.192,1,1,1,1,1,1,1.6502742624227382,1.508831024269035,250,250,-10,,8.881784197001252e-16,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",30.9802768
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Pure KNN",250,0.5,16,3,12,12,"38807230695919057536169524079860779455267734629013981279348772659218393004643",0.1779460316195729,0.6849819794483124,-0.5070359478287395,0.5070359478287395,-0.29151467251626273,0.21678321678321677,0.7272727272727273,-0.21678321678321677,2327,2320,18.616,18.56,1,1,1,1,1,1,,,250,250,-7,,0,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",30.9802768
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Mutual KNN",250,0.5,16,3,12,12,"71367281271613253239742224631655791322649059130195015523878961236876771158067",0.7435465688022842,0.8665396770005774,-0.12299310819829323,0.12299310819829323,-0.7720357470651379,0.7482517482517482,0.7972027972027972,-0.7482517482517482,1673,1680,13.384,13.44,1,1,1,1,1,1,,,250,250,7,,0,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",30.9802768
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Edge-matched radius",250,0.5,16,3,12,12,"14535239791899063851649736266941094045270702881846438337557611192592482612537",0.4784580624321115,0.141653377488693,0.3368046849434185,0.3368046849434185,-0.5092111267341557,0.4125874125874126,0.22377622377622378,-0.4125874125874126,2534,2534,20.272,20.272,1,1,1,1,1,1,1.6502742624227382,1.5136820292470032,250,250,0,1,0,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx",30.9802768
