"Family","ParameterName","ParameterValue","Protocol","NSeeds","RhoBHMean","RhoBHSD","RhoFlatMean","RhoFlatSD","DeltaRhoMean","DeltaRhoSD","AbsDeltaRhoMean","AbsDeltaRhoSD","PearsonBHLogKMean","PearsonBHLogKSD","SpearmanRhoBHMean","SpearmanRhoBHSD","SpearmanRhoFlatMean","SpearmanRhoFlatSD","SpearmanBHLogKMean","SpearmanBHLogKSD"
"Bardeen","g",0.2,"Original matched-flat KNN",2,0.07339302201358461,0.5728484738030866,0.6940587405044377,0.012836478587992358,-0.6206657184908532,0.585684952391079,0.6206657184908532,0.585684952391079,-0.07610329027847898,0.6125069762856864,0.06643356643356643,0.48953546389837904,0.7552447552447552,0.03955842132512154,-0.06643356643356643,0.48953546389837904
"Bardeen","g",0.2,"Strict radius",2,0.07339302201358461,0.5728484738030866,-0.29243361825472086,0.7048547624879679,0.36582664026830547,0.13200628868488118,0.36582664026830547,0.13200628868488118,-0.07610329027847898,0.6125069762856864,0.06643356643356643,0.48953546389837904,-0.19230769230769232,0.6873275705239867,-0.06643356643356643,0.48953546389837904
"Bardeen","g",0.2,"Pure KNN",2,0.2723576728967788,0.13351822354012807,0.6940587405044378,0.012836478587992516,-0.421701067607659,0.12068174495213557,0.421701067607659,0.12068174495213557,-0.37562992555990704,0.11895693165676655,0.1678321678321678,0.06922723731896269,0.7552447552447552,0.03955842132512154,-0.1678321678321678,0.06922723731896269
"Bardeen","g",0.2,"Mutual KNN",2,0.7195245337963736,0.03397228770116003,0.5663265758522246,0.4245654392460864,0.15319795794414903,0.3905931515449264,0.27619106614244227,0.2166546298524786,-0.7588851609212095,0.01859773727789923,0.6748251748251748,0.10384085597844406,0.47202797202797203,0.4598666479045379,-0.6748251748251748,0.10384085597844406
"Bardeen","g",0.2,"Edge-matched radius",2,0.07339302201358461,0.5728484738030866,-0.3759656820856169,0.7320238941927962,0.44935870409920153,0.1591754203897095,0.44935870409920153,0.1591754203897095,-0.07610329027847898,0.6125069762856864,0.06643356643356643,0.48953546389837904,-0.3146853146853147,0.7614996105085896,-0.06643356643356643,0.48953546389837904
"Hayward","ell",0.2,"Original matched-flat KNN",2,0.062352514932512204,0.5895221216163473,0.6940587405044377,0.012836478587992358,-0.6317062255719255,0.6023586002043395,0.6317062255719255,0.6023586002043395,-0.07006766329193337,0.6324530409432567,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"Hayward","ell",0.2,"Strict radius",2,0.062352514932512204,0.5895221216163473,-0.29243361825472086,0.7048547624879679,0.35478613318723307,0.11533264087162053,0.35478613318723307,0.11533264087162053,-0.07006766329193337,0.6324530409432567,0.06293706293706292,0.48459066123273886,-0.19230769230769232,0.6873275705239867,-0.06293706293706292,0.48459066123273886
"Hayward","ell",0.2,"Pure KNN",2,0.23073773938693048,0.0842066022453118,0.6940587405044378,0.012836478587992516,-0.46332100111750735,0.07137012365731928,0.46332100111750735,0.07137012365731928,-0.3383204475241144,0.0749361955395854,0.2097902097902098,0.16812329063176654,0.7552447552447552,0.03955842132512154,-0.2097902097902098,0.16812329063176654
"Hayward","ell",0.2,"Mutual KNN",2,0.7258008395636653,0.06023617197444948,0.5663265758522246,0.4245654392460864,0.15947426371144074,0.36432926727163695,0.2576196954725006,0.225530666590183,-0.763481496162272,0.03718068673531228,0.7097902097902098,0.15328888263484602,0.47202797202797203,0.4598666479045379,-0.7097902097902098,0.15328888263484602
"Hayward","ell",0.2,"Edge-matched radius",2,0.062352514932512204,0.5895221216163473,-0.3692434761784017,0.7415305289558445,0.4315959911109139,0.1520084073394972,0.4315959911109139,0.1520084073394972,-0.07006766329193337,0.6324530409432567,0.06293706293706292,0.48459066123273886,-0.3146853146853147,0.7614996105085896,-0.06293706293706292,0.48459066123273886
