"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","CommonProfileHash","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","SourceRunner","SourceCheckpoint","RuntimeSeconds"
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,1,"Original matched-flat KNN",250,0.5,16,3,12,12,"32651883382271112325366599386056202466341288322279234983424460969403768715871",-0.3384170751998905,0.703135501560563,-1.0415525767604534,1.0415525767604534,0.36043268640836773,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2548,2306,20.384,18.448,1,1,1,1,1,1,1.6471309119575606,,250,250,-242,,1.3322676295501878e-15,"34096482292290616418725203231221815314819715752380673244196216502582005075961","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\bardeen\g_0p\seed_01.mx",10.1855191
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0,2,"Original matched-flat KNN",250,0.5,16,3,12,12,"40909675785138166434091914670798663497997955421609440546188746302198555084706",0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5205139055728627,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,1.6508486892768233,,250,250,-212,,1.7763568394002505e-15,"19882765205624406598894108843836599877689501079134109862822650459748716754628","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\bardeen\g_0p\seed_02.mx",8.8346127
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.1,1,"Original matched-flat KNN",250,0.5,16,3,12,12,"6851985451853590206135188895193409650092045677214351780333760490122520712113",-0.3545025749218875,0.703135501560563,-1.0576380764824505,1.0576380764824505,0.3757721822267244,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,1.6468021920423077,,250,250,-243,,8.881784197001252e-16,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\bardeen\g_0p1\seed_01.mx",11.4316213
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.1,2,"Original matched-flat KNN",250,0.5,16,3,12,12,"68475808937123407769903504187683022715936397728119390383540739910643527423565",0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5198122697046649,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,1.6507583571184643,,250,250,-212,,8.881784197001252e-16,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\bardeen\g_0p1\seed_02.mx",12.3917344
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,1,"Original matched-flat KNN",250,0.5,16,3,12,12,"71286955775036892704079658416805895466174405727343273214641740697927314080443",-0.33167201840494226,0.703135501560563,-1.0348075199655054,1.0348075199655054,0.35700454617719773,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,1.6458093898232309,,250,250,-243,,8.881784197001252e-16,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\bardeen\g_0p2\seed_01.mx",12.0943452
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,2,"Original matched-flat KNN",250,0.5,16,3,12,12,"10770978852781891954643680751637907869015928400176794095815456383624164849162",0.4784580624321115,0.6849819794483124,-0.20652391701620093,0.20652391701620093,-0.5092111267341557,0.4125874125874126,0.7272727272727273,-0.4125874125874126,2534,2320,20.272,18.56,1,1,1,1,1,1,1.6502742624227382,,250,250,-214,,8.881784197001252e-16,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\bardeen\g_0p2\seed_02.mx",13.3015098
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.3,1,"Original matched-flat KNN",250,0.5,16,3,12,12,"2714462732528053421857731933467508018295581969534888390726347036568397357067",-0.39238281069094705,0.703135501560563,-1.0955183122515102,1.0955183122515102,0.4190366844600155,-0.40559440559440557,0.7832167832167832,0.40559440559440557,2555,2306,20.44,18.448,1,1,1,1,1,1,1.644788411605124,,250,250,-249,,8.881784197001252e-16,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\bardeen\g_0p3\seed_01.mx",14.1774103
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.3,2,"Original matched-flat KNN",250,0.5,16,3,12,12,"7917885363534650923767363993989358181748759412479304547548252073953960541368",0.4957773455247435,0.6849819794483124,-0.1892046339235689,0.1892046339235689,-0.5220115231833221,0.4125874125874126,0.7272727272727273,-0.4125874125874126,2532,2320,20.256,18.56,1,1,1,1,1,1,1.647630092432941,,250,250,-212,,8.881784197001252e-16,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\bardeen\g_0p3\seed_02.mx",18.3182259
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0,1,"Original matched-flat KNN",250,0.5,16,3,12,12,"32651883382271112325366599386056202466341288322279234983424460969403768715871",-0.3384170751998905,0.703135501560563,-1.0415525767604534,1.0415525767604534,0.36043268640836773,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2548,2306,20.384,18.448,1,1,1,1,1,1,1.6471309119575606,,250,250,-242,,1.3322676295501878e-15,"34096482292290616418725203231221815314819715752380673244196216502582005075961","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\hayward\ell_0p\seed_01.mx",14.3961574
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0,2,"Original matched-flat KNN",250,0.5,16,3,12,12,"40909675785138166434091914670798663497997955421609440546188746302198555084706",0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5205139055728627,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,1.6508486892768233,,250,250,-212,,1.7763568394002505e-15,"19882765205624406598894108843836599877689501079134109862822650459748716754628","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_smoke\checkpoints\scan\hayward\ell_0p\seed_02.mx",15.0336786
