"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SourceCheckpoint"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.2697320778067407,0.703135501560563,-0.9728675793673037,0.9728675793673037,0.3358767670542223,-0.3356643356643357,0.7832167832167832,0.3356643356643357,2551,2306,20.408,18.448,1,1,1,1,1,1,250,250,-245,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,1,"Strict radius",250,0.5,16,3,12,12,-0.2697320778067407,-0.7908412005615962,0.5211091227548555,0.5211091227548555,0.3358767670542223,-0.3356643356643357,-0.6783216783216783,0.3356643356643357,2551,2496,20.408,19.968,1,1,1,1,1,1,250,250,-55,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,1,"Pure KNN",250,0.5,16,3,12,12,0.7941103668429171,0.7031355015605633,0.09097486528235388,0.09097486528235388,-0.8320981721142712,0.7622377622377622,0.7832167832167832,-0.7622377622377622,2299,2306,18.392,18.448,1,1,1,1,1,1,250,250,7,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,1,"Mutual KNN",250,0.5,16,3,12,12,0.6700659189993013,0.2661134747038717,0.40395244429542965,0.40395244429542965,-0.74073401312513,0.6153846153846154,0.14685314685314685,-0.6153846153846154,1701,1694,13.608,13.552,1,1,1,1,1,1,250,250,-7,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,1,"Edge-matched radius",250,0.5,16,3,12,12,-0.2697320778067407,-0.8967760580985554,0.6270439802918147,0.6270439802918147,0.3358767670542223,-0.3356643356643357,-0.8671328671328671,0.3356643356643357,2551,2551,20.408,20.408,1,1,1,1,1,1,250,250,0,1,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.5587797215152333,0.6849819794483124,-0.12620225793307915,0.12620225793307915,-0.5661629460061499,0.4965034965034965,0.7272727272727273,-0.4965034965034965,2523,2320,20.184,18.56,1,1,1,1,1,1,250,250,-203,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_02.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,2,"Strict radius",250,0.5,16,3,12,12,0.5587797215152333,0.2059739640521545,0.35280575746307874,0.35280575746307874,-0.5661629460061499,0.4965034965034965,0.2937062937062937,-0.4965034965034965,2523,2524,20.184,20.192,1,1,1,1,1,1,250,250,1,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_02.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,2,"Pure KNN",250,0.5,16,3,12,12,0.11069292537605298,0.6849819794483124,-0.5742890540722594,0.5742890540722594,-0.2276456666505035,0.06993006993006994,0.7272727272727273,-0.06993006993006994,2323,2320,18.584,18.56,1,1,1,1,1,1,250,250,-3,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_02.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,2,"Mutual KNN",250,0.5,16,3,12,12,0.7426042272239853,0.8665396770005774,-0.1239354497765921,0.1239354497765921,-0.7627096932258478,0.7132867132867133,0.7972027972027972,-0.7132867132867133,1677,1680,13.416,13.44,1,1,1,1,1,1,250,250,3,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_02.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,2,"Edge-matched radius",250,0.5,16,3,12,12,0.5587797215152333,0.18891455343488367,0.3698651680803496,0.3698651680803496,-0.5661629460061499,0.4965034965034965,0.11888111888111888,-0.4965034965034965,2523,2523,20.184,20.184,1,1,1,1,1,1,250,250,0,1,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\rn\Q_0p4\seed_02.mx"
