"Family","ParameterName","ParameterValue","Protocol","NSeeds","RhoBHMean","RhoBHSD","RhoFlatMean","RhoFlatSD","DeltaRhoMean","DeltaRhoSD","AbsDeltaRhoMean","AbsDeltaRhoSD","PearsonBHLogKMean","PearsonBHLogKSD","SpearmanRhoBHMean","SpearmanRhoBHSD","SpearmanRhoFlatMean","SpearmanRhoFlatSD","SpearmanBHLogKMean","SpearmanBHLogKSD"
"RN","Q",0.4,"Original matched-flat KNN",2,0.14452382185424628,0.5858463115936358,0.6940587405044377,0.012836478587992358,-0.5495349186501914,0.5986827901816282,0.5495349186501914,0.5986827901816282,-0.1151430894759638,0.6378383980045568,0.08041958041958042,0.5884315172111829,0.7552447552447552,0.03955842132512154,-0.08041958041958042,0.5884315172111829
"RN","Q",0.4,"Strict radius",2,0.14452382185424628,0.5858463115936358,-0.29243361825472086,0.7048547624879679,0.43695744010896714,0.119008450894332,0.43695744010896714,0.119008450894332,-0.1151430894759638,0.6378383980045568,0.08041958041958042,0.5884315172111829,-0.19230769230769232,0.6873275705239867,-0.08041958041958042,0.5884315172111829
"RN","Q",0.4,"Pure KNN",2,0.4524016461094851,0.48324910724238007,0.6940587405044378,0.012836478587992516,-0.24165709439495275,0.47041262865438754,0.33263195967730663,0.3417547403370174,-0.5298719193823873,0.42741246551862877,0.41608391608391604,0.489535463898379,0.7552447552447552,0.03955842132512154,-0.41608391608391604,0.489535463898379
"RN","Q",0.4,"Mutual KNN",2,0.7063350731116433,0.05129232964147396,0.5663265758522246,0.4245654392460864,0.14000849725941877,0.37327310960461246,0.2639439470360109,0.19800191567174633,-0.7517218531754889,0.015539152420403842,0.6643356643356644,0.0692272373189627,0.47202797202797203,0.4598666479045379,-0.6643356643356644,0.0692272373189627
"RN","Q",0.4,"Edge-matched radius",2,0.14452382185424628,0.5858463115936358,-0.3539307523318359,0.7676991936858645,0.4984545741860822,0.1818528820922287,0.4984545741860822,0.1818528820922287,-0.1151430894759638,0.6378383980045568,0.08041958041958042,0.5884315172111829,-0.3741258741258741,0.6972171758552671,-0.08041958041958042,0.5884315172111829
"Bardeen","g",0.2,"Original matched-flat KNN",2,0.07339302201358461,0.5728484738030866,0.6940587405044377,0.012836478587992358,-0.6206657184908532,0.585684952391079,0.6206657184908532,0.585684952391079,-0.07610329027847898,0.6125069762856864,0.06643356643356643,0.48953546389837904,0.7552447552447552,0.03955842132512154,-0.06643356643356643,0.48953546389837904
"Bardeen","g",0.2,"Strict radius",2,0.07339302201358461,0.5728484738030866,-0.29243361825472086,0.7048547624879679,0.36582664026830547,0.13200628868488118,0.36582664026830547,0.13200628868488118,-0.07610329027847898,0.6125069762856864,0.06643356643356643,0.48953546389837904,-0.19230769230769232,0.6873275705239867,-0.06643356643356643,0.48953546389837904
"Bardeen","g",0.2,"Pure KNN",2,0.2723576728967788,0.13351822354012807,0.6940587405044378,0.012836478587992516,-0.421701067607659,0.12068174495213557,0.421701067607659,0.12068174495213557,-0.37562992555990704,0.11895693165676655,0.1678321678321678,0.06922723731896269,0.7552447552447552,0.03955842132512154,-0.1678321678321678,0.06922723731896269
"Bardeen","g",0.2,"Mutual KNN",2,0.7195245337963736,0.03397228770116003,0.5663265758522246,0.4245654392460864,0.15319795794414903,0.3905931515449264,0.27619106614244227,0.2166546298524786,-0.7588851609212095,0.01859773727789923,0.6748251748251748,0.10384085597844406,0.47202797202797203,0.4598666479045379,-0.6748251748251748,0.10384085597844406
"Bardeen","g",0.2,"Edge-matched radius",2,0.07339302201358461,0.5728484738030866,-0.3759656820856169,0.7320238941927962,0.44935870409920153,0.1591754203897095,0.44935870409920153,0.1591754203897095,-0.07610329027847898,0.6125069762856864,0.06643356643356643,0.48953546389837904,-0.3146853146853147,0.7614996105085896,-0.06643356643356643,0.48953546389837904
"Hayward","ell",0.2,"Original matched-flat KNN",2,0.062352514932512204,0.5895221216163473,0.6940587405044377,0.012836478587992358,-0.6317062255719255,0.6023586002043395,0.6317062255719255,0.6023586002043395,-0.07006766329193337,0.6324530409432567,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"Hayward","ell",0.2,"Strict radius",2,0.062352514932512204,0.5895221216163473,-0.29243361825472086,0.7048547624879679,0.35478613318723307,0.11533264087162053,0.35478613318723307,0.11533264087162053,-0.07006766329193337,0.6324530409432567,0.06293706293706292,0.48459066123273886,-0.19230769230769232,0.6873275705239867,-0.06293706293706292,0.48459066123273886
"Hayward","ell",0.2,"Pure KNN",2,0.23073773938693048,0.0842066022453118,0.6940587405044378,0.012836478587992516,-0.46332100111750735,0.07137012365731928,0.46332100111750735,0.07137012365731928,-0.3383204475241144,0.0749361955395854,0.2097902097902098,0.16812329063176654,0.7552447552447552,0.03955842132512154,-0.2097902097902098,0.16812329063176654
"Hayward","ell",0.2,"Mutual KNN",2,0.7258008395636653,0.06023617197444948,0.5663265758522246,0.4245654392460864,0.15947426371144074,0.36432926727163695,0.2576196954725006,0.225530666590183,-0.763481496162272,0.03718068673531228,0.7097902097902098,0.15328888263484602,0.47202797202797203,0.4598666479045379,-0.7097902097902098,0.15328888263484602
"Hayward","ell",0.2,"Edge-matched radius",2,0.062352514932512204,0.5895221216163473,-0.3692434761784017,0.7415305289558445,0.4315959911109139,0.1520084073394972,0.4315959911109139,0.1520084073394972,-0.07006766329193337,0.6324530409432567,0.06293706293706292,0.48459066123273886,-0.3146853146853147,0.7614996105085896,-0.06293706293706292,0.48459066123273886
