"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SourceCheckpoint"
"2026-08-broader-family-canonical-v2","RN","Q",0,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.3384170751998905,0.703135501560563,-1.0415525767604534,1.0415525767604534,0.36043268831909236,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2548,2306,20.384,18.448,1,1,1,1,1,1,250,250,-242,,1.3322676295501878e-15,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5205139058797618,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,1.7763568394002505e-15,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p\seed_02.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.1,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.33641136185055737,0.703135501560563,-1.0395468634111205,1.0395468634111205,0.35978630904293585,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2547,2306,20.376,18.448,1,1,1,1,1,1,250,250,-241,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p1\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.1,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5203699795416548,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p1\seed_02.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.2,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.33167201840494226,0.703135501560563,-1.0348075199655054,1.0348075199655054,0.3560939084813064,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,250,250,-243,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.2,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.4986183627509513,0.6849819794483124,-0.18636361669736112,0.18636361669736112,-0.5296466734643502,0.4125874125874126,0.7272727272727273,-0.4125874125874126,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.3,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.23823114698811979,0.703135501560563,-0.9413666485486828,0.9413666485486828,0.30498232687435595,-0.23776223776223776,0.7832167832167832,0.23776223776223776,2550,2306,20.4,18.448,1,1,1,1,1,1,250,250,-244,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p3\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.3,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.5529782133869515,0.6849819794483124,-0.13200376606136088,0.13200376606136088,-0.5676623012937733,0.45454545454545453,0.7272727272727273,-0.45454545454545453,2529,2320,20.232,18.56,1,1,1,1,1,1,250,250,-209,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p3\seed_02.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.2697320778067407,0.703135501560563,-0.9728675793673037,0.9728675793673037,0.3358767670542223,-0.3356643356643357,0.7832167832167832,0.3356643356643357,2551,2306,20.408,18.448,1,1,1,1,1,1,250,250,-245,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p4\seed_01.mx"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.5587797215152333,0.6849819794483124,-0.12620225793307915,0.12620225793307915,-0.5661629460061499,0.4965034965034965,0.7272727272727273,-0.4965034965034965,2523,2320,20.184,18.56,1,1,1,1,1,1,250,250,-203,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\rn\Q_0p4\seed_02.mx"
