"Family","ParameterName","ParameterValue","Protocol","NSeeds","RhoBHMean","RhoBHSD","RhoFlatMean","RhoFlatSD","DeltaRhoMean","DeltaRhoSD","AbsDeltaRhoMean","AbsDeltaRhoSD","PearsonBHLogKMean","PearsonBHLogKSD","SpearmanRhoBHMean","SpearmanRhoBHSD","SpearmanRhoFlatMean","SpearmanRhoFlatSD","SpearmanBHLogKMean","SpearmanBHLogKSD"
"RN","Q",0,"Original matched-flat KNN",2,0.07039526479351071,0.5781479556841489,0.6940587405044377,0.012836478587992358,-0.623663475710927,0.5909844342721411,0.623663475710927,0.5909844342721411,-0.0800406087803347,0.6229233106212034,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"RN","Q",0.1,"Original matched-flat KNN",2,0.07139812146817728,0.576729702173719,0.6940587405044377,0.012836478587992358,-0.6226606190362605,0.5895661807617114,0.6226606190362605,0.5895661807617114,-0.08029183524935946,0.6223644801621478,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"RN","Q",0.2,"Original matched-flat KNN",2,0.08347317217300451,0.5871039588692956,0.6940587405044377,0.012836478587992358,-0.6105855683314332,0.599940437457288,0.6105855683314332,0.599940437457288,-0.08677638249152192,0.6263131718658927,0.06643356643356643,0.48953546389837904,0.7552447552447552,0.03955842132512154,-0.06643356643356643,0.48953546389837904
"RN","Q",0.3,"Original matched-flat KNN",2,0.15737353319941588,0.5594695040594838,0.6940587405044377,0.012836478587992358,-0.5366852073050219,0.5723059826474761,0.5366852073050219,0.5723059826474761,-0.13133998720970866,0.6170529341436976,0.10839160839160839,0.48953546389837904,0.7552447552447552,0.03955842132512154,-0.10839160839160839,0.48953546389837904
"RN","Q",0.4,"Original matched-flat KNN",2,0.14452382185424628,0.5858463115936358,0.6940587405044377,0.012836478587992358,-0.5495349186501914,0.5986827901816282,0.5495349186501914,0.5986827901816282,-0.1151430894759638,0.6378383980045568,0.08041958041958042,0.5884315172111829,0.7552447552447552,0.03955842132512154,-0.08041958041958042,0.5884315172111829
"Bardeen","g",0,"Original matched-flat KNN",2,0.07039526479351071,0.5781479556841489,0.6940587405044377,0.012836478587992358,-0.623663475710927,0.5909844342721411,0.623663475710927,0.5909844342721411,-0.08004060958224749,0.6229233090531067,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"Bardeen","g",0.1,"Original matched-flat KNN",2,0.062352514932512204,0.5895221216163473,0.6940587405044377,0.012836478587992358,-0.6317062255719255,0.6023586002043395,0.6317062255719255,0.6023586002043395,-0.07202004373897022,0.633273839085923,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"Bardeen","g",0.2,"Original matched-flat KNN",2,0.07339302201358461,0.5728484738030866,0.6940587405044377,0.012836478587992358,-0.6206657184908532,0.585684952391079,0.6206657184908532,0.585684952391079,-0.07610329027847898,0.6125069762856864,0.06643356643356643,0.48953546389837904,0.7552447552447552,0.03955842132512154,-0.06643356643356643,0.48953546389837904
"Bardeen","g",0.3,"Original matched-flat KNN",2,0.05169726741689823,0.6280240692398181,0.6940587405044377,0.012836478587992358,-0.6423614730875395,0.6408605478278107,0.6423614730875395,0.6408605478278107,-0.0514874193616533,0.6654215690480503,0.003496503496503517,0.5785419118799024,0.7552447552447552,0.03955842132512154,-0.003496503496503517,0.5785419118799024
"Hayward","ell",0,"Original matched-flat KNN",2,0.07039526479351071,0.5781479556841489,0.6940587405044377,0.012836478587992358,-0.623663475710927,0.5909844342721411,0.623663475710927,0.5909844342721411,-0.08004060958224749,0.6229233090531067,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"Hayward","ell",0.1,"Original matched-flat KNN",2,0.07039526479351074,0.5781479556841488,0.6940587405044377,0.012836478587992358,-0.623663475710927,0.5909844342721411,0.623663475710927,0.5909844342721411,-0.07941964472774671,0.6226436588564584,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"Hayward","ell",0.2,"Original matched-flat KNN",2,0.062352514932512204,0.5895221216163473,0.6940587405044377,0.012836478587992358,-0.6317062255719255,0.6023586002043395,0.6317062255719255,0.6023586002043395,-0.07006766329193337,0.6324530409432567,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
"Hayward","ell",0.3,"Original matched-flat KNN",2,0.07313364139231743,0.5682677836711518,0.6940587405044377,0.012836478587992358,-0.6209250991121202,0.5811042622591442,0.6209250991121202,0.5811042622591442,-0.07545746839794151,0.6105086502907785,0.06293706293706292,0.48459066123273886,0.7552447552447552,0.03955842132512154,-0.06293706293706292,0.48459066123273886
