"Protocol","XYMismatch","BHEdges","FlatEdges","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","Seed"
"Original matched-flat KNN",1.3322676295501878e-15,10336,9071,1,1,1,1,1
"Strict radius",1.3322676295501878e-15,10336,10176,1,1,1,1,1
"Pure KNN",0,9063,9071,1,1,1,1,1
"Mutual KNN",0,6937,6929,1,1,1,1,1
"Edge-matched radius",0,10336,10336,1,1,1,1,1
"Original matched-flat KNN",1.1102230246251565e-15,10236,9079,1,1,1,1,2
"Strict radius",1.1102230246251565e-15,10236,10227,1,1,1,1,2
"Pure KNN",0,9104,9079,1,1,1,1,2
"Mutual KNN",0,6896,6921,1,1,1,1,2
"Edge-matched radius",0,10236,10236,1,1,1,1,2
"Original matched-flat KNN",1.3322676295501878e-15,10165,9005,1,1,1,1,3
"Strict radius",1.3322676295501878e-15,10165,10190,1,1,1,1,3
"Pure KNN",0,9033,9005,1,1,1,1,3
"Mutual KNN",0,6967,6995,1,1,1,1,3
"Edge-matched radius",0,10165,10165,1,1,1,1,3
"Original matched-flat KNN",1.3322676295501878e-15,10240,9055,1,1,1,1,4
"Strict radius",1.3322676295501878e-15,10240,10243,1,1,1,1,4
"Pure KNN",0,9031,9055,1,1,1,1,4
"Mutual KNN",0,6969,6945,1,1,1,1,4
"Edge-matched radius",0,10240,10240,1,1,1,1,4
"Original matched-flat KNN",1.3322676295501878e-15,10118,8977,1,1,1,1,5
"Strict radius",1.3322676295501878e-15,10118,10345,1,1,1,1,5
"Pure KNN",0,8985,8977,1,1,1,1,5
"Mutual KNN",0,7015,7023,1,1,1,1,5
"Edge-matched radius",0,10118,10118,1,1,1,1,5
"Original matched-flat KNN",1.3322676295501878e-15,10173,9048,1,1,1,1,6
"Strict radius",1.3322676295501878e-15,10173,10107,1,1,1,1,6
"Pure KNN",0,9036,9048,1,1,1,1,6
"Mutual KNN",0,6964,6952,1,1,1,1,6
"Edge-matched radius",0,10173,10173,1,1,1,1,6
"Original matched-flat KNN",1.3322676295501878e-15,10056,9093,1,1,1,1,7
"Strict radius",1.3322676295501878e-15,10056,9988,1,1,1,1,7
"Pure KNN",0,9099,9093,1,1,1,1,7
"Mutual KNN",0,6901,6907,1,1,1,1,7
"Edge-matched radius",0,10056,10056,1,1,1,1,7
"Original matched-flat KNN",1.3322676295501878e-15,10152,9041,1,1,1,1,8
"Strict radius",1.3322676295501878e-15,10152,10223,1,1,1,1,8
"Pure KNN",0,9041,9041,1,1,1,1,8
"Mutual KNN",0,6959,6959,1,1,1,1,8
"Edge-matched radius",0,10152,10152,1,1,1,1,8
"Original matched-flat KNN",1.3322676295501878e-15,10000,9097,1,1,1,1,9
"Strict radius",1.3322676295501878e-15,10000,9967,1,1,1,1,9
"Pure KNN",0,9095,9097,1,1,1,1,9
"Mutual KNN",0,6905,6903,1,1,1,1,9
"Edge-matched radius",0,10000,10000,1,1,1,1,9
"Original matched-flat KNN",1.3322676295501878e-15,10236,8978,1,1,1,1,10
"Strict radius",1.3322676295501878e-15,10236,10098,1,1,1,1,10
"Pure KNN",0,8978,8978,1,1,1,1,10
"Mutual KNN",0,7022,7022,1,1,1,1,10
"Edge-matched radius",0,10236,10236,1,1,1,1,10
