"AuditVersion","Model","Seed","Protocol","N","k","GraphShellRadius","BinsRequested","CommonBins","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHRadius","FlatRadius","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch"
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",1,"Original matched-flat KNN",1000,16,3,12,12,0.9232803898040025,0.6317960338270898,0.2914843559769127,0.2914843559769127,1,1,10336,9071,20.672,18.142,1,1,1,1,0.795093971514917,,-1265,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",1,"Strict radius",1000,16,3,12,12,0.9232803898040025,0.6653402546149659,0.2579401351890366,0.2579401351890366,1,1,10336,10176,20.672,20.352,1,1,1,1,0.795093971514917,0.7188604086360707,-160,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",1,"Pure KNN",1000,16,3,12,12,0.5750273769831168,0.6317960338270898,-0.05676865684397303,0.05676865684397303,1,1,9063,9071,18.126,18.142,1,1,1,1,,,8,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",1,"Mutual KNN",1000,16,3,12,12,0.05784276727468866,-0.2437187799189219,0.30156154719361056,0.30156154719361056,1,1,6937,6929,13.874,13.858,1,1,1,1,,,-8,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",1,"Edge-matched radius",1000,16,3,12,12,0.9232803898040025,0.777024848960613,0.14625554084338954,0.14625554084338954,1,1,10336,10336,20.672,20.672,1,1,1,1,0.795093971514917,0.7245233711569572,0,1,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",2,"Original matched-flat KNN",1000,16,3,12,12,0.7300554602934374,0.4250571321027517,0.3049983281906857,0.3049983281906857,1,1,10236,9079,20.472,18.158,1,1,1,1,0.7916049256676947,,-1157,,1.1102230246251565e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",2,"Strict radius",1000,16,3,12,12,0.7300554602934374,0.5193468604840737,0.21070859980936363,0.21070859980936363,1,1,10236,10227,20.472,20.454,1,1,1,1,0.7916049256676947,0.7203256932325899,-9,,1.1102230246251565e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",2,"Pure KNN",1000,16,3,12,12,0.09970736878031365,0.4250571321027517,-0.32534976332243803,0.32534976332243803,1,1,9104,9079,18.208,18.158,1,1,1,1,,,-25,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",2,"Mutual KNN",1000,16,3,12,12,0.2404171739037457,0.17793945689009827,0.06247771701364743,0.06247771701364743,1,1,6896,6921,13.792,13.842,1,1,1,1,,,25,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",2,"Edge-matched radius",1000,16,3,12,12,0.7300554602934374,0.504428397353712,0.22562706293972534,0.22562706293972534,1,1,10236,10236,20.472,20.472,1,1,1,1,0.7916049256676947,0.7206001321549963,0,1,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",3,"Original matched-flat KNN",1000,16,3,12,12,0.8281421977420863,0.5882737466385332,0.23986845110355315,0.23986845110355315,1,1,10165,9005,20.33,18.01,1,1,1,1,0.7953209233491141,,-1160,,1.3322676295501878e-15
