"ProtocolA","ProtocolB","ContrastDefinition","NPairedSeeds","MeanPairedDifference","StdPairedDifference","SEMPairedDifference","CI95Low","CI95High","MedianPairedDifference"
"Original matched-flat KNN","Strict radius","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,-0.44640331035840825,0.4532345982099868,0.14332536447348326,-0.7706278102127617,-0.12217881050405471,-0.6130420935121038
"Original matched-flat KNN","Pure KNN","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,0.008677901061129766,0.2805401665140213,0.08871459013472069,-0.19200844445683563,0.20936424657909514,-0.010901390602029298
"Original matched-flat KNN","Mutual KNN","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,-0.1805180133990829,0.4014062964525813,0.12693581639229237,-0.4676667796665449,0.10663075286837909,-0.017702589659440632
"Original matched-flat KNN","Edge-matched radius","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,-0.4395606962202809,0.46356266964443543,0.14659138743046127,-0.7711734533006256,-0.10794793913993617,-0.6116471112095978
"Strict radius","Pure KNN","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,0.45508121141953806,0.5363366249534357,0.16960453274203563,0.07140910283409951,0.8387533200049766,0.32654789535656575
"Strict radius","Mutual KNN","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,0.2658852969593254,0.3825431035402707,0.12097075103768774,-0.00776955398965834,0.5395401479083091,0.2132088777572408
"Strict radius","Edge-matched radius","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,0.006842614138127345,0.05020936437516198,0.01587759512948288,-0.029075001412042244,0.04276022968829694,0.000558400232862577
"Pure KNN","Mutual KNN","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,-0.18919591446021267,0.4120080186841008,0.13028837532949683,-0.4839286959411748,0.10553686702074949,-0.33707197039094494
"Pure KNN","Edge-matched radius","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,-0.44823859728141063,0.5346379256911747,0.16906735686919638,-0.8306955296184235,-0.06578166494439774,-0.3359326996066732
"Mutual KNN","Edge-matched radius","AbsDeltaRho_A_minus_AbsDeltaRho_B",10,-0.25904268282119797,0.3859923130390218,0.12206148685200185,-0.5351649496052528,0.017079583962856915,-0.26220786771776033
