"{Bin : 1., rMean : 0.20953457439595133, EstimatorMean : 1.1683814438786781, EstimatorStd : 0.06223246892445397, Count : 8.}"
"{Bin : 2., rMean : 0.45425165775647547, EstimatorMean : 1.149600253453424, EstimatorStd : 0.060526383470367956, Count : 9.}"
"{Bin : 3., rMean : 0.7183790433006645, EstimatorMean : 1.117080669045051, EstimatorStd : 0.08235606798059505, Count : 18.}"
"{Bin : 4., rMean : 0.9599293711882879, EstimatorMean : 1.1407770718091799, EstimatorStd : 0.08101339449192202, Count : 26.}"
"{Bin : 5., rMean : 1.1653080593449536, EstimatorMean : 1.1614278997698253, EstimatorStd : 0.07464665091602565, Count : 24.}"
"{Bin : 6., rMean : 1.434111957899274, EstimatorMean : 1.1645425830773353, EstimatorStd : 0.10345087714801678, Count : 40.}"
"{Bin : 7., rMean : 1.674324647368634, EstimatorMean : 1.1664588488035168, EstimatorStd : 0.11532313567418974, Count : 46.}"
"{Bin : 8., rMean : 1.924965576953291, EstimatorMean : 1.1490605957340498, EstimatorStd : 0.09511377143726225, Count : 60.}"
"{Bin : 9., rMean : 2.153301300818611, EstimatorMean : 1.1570264836480606, EstimatorStd : 0.11167007804472161, Count : 47.}"
"{Bin : 10., rMean : 2.393702784142355, EstimatorMean : 1.1292461803815375, EstimatorStd : 0.14207422219093876, Count : 54.}"
"{Bin : 11., rMean : 2.6324981920905115, EstimatorMean : 1.1700121814629407, EstimatorStd : 0.13197710215643585, Count : 86.}"
"{Bin : 12., rMean : 2.877517214125677, EstimatorMean : 1.145949835852815, EstimatorStd : 0.15996886878185754, Count : 82.}"
