"Bin","rMean","ValueMean","ValueStd","Count","KMean"
1,1.2216305370200173,-46.81538575712588,9.923514371663824,88,4.1476920077625445
2,1.540357600963669,-54.10163082173946,8.049027490606878,73,0.9616554539786574
3,1.867478847815435,-50.996968701314266,7.281619139126725,89,0.2993460551407329
4,2.2025640358787575,-46.51291468405155,5.926562531779141,84,0.10940811219814524
5,2.5313846313314188,-43.79989726920446,8.448165540875365,70,0.046906328477354875
6,2.858632778258486,-40.145454008746995,10.227261112452766,91,0.022525754766890855
7,3.1935451688039445,-37.00182168081761,7.677961601311855,76,0.011534282343781609
8,3.521524351872741,-33.75552443063284,6.6922544316614925,80,0.006388957585565712
9,3.8495947026071953,-33.4720673583238,6.648180568439005,83,0.0037317045315216194
10,4.1748854672664,-31.393453019942267,6.21020576382052,108,0.0022922845490435887
11,4.515711869616939,-24.323305199927983,5.857317144780846,81,0.0014286932152884964
12,4.82707612125805,-17.95311142681273,5.3794032336865465,77,0.0009567223042266295
