"Model","ell","Seed","Geometry","CorrLogKLogCMD","CorrRLogCMD","MatchedFlatCorrRLogCMD","Difference"
"Hayward",0,1,"Hayward_l0.00",0.8769100779378313,-0.9465922437642524,0.35337604611491535,-1.2999682898791678
"Hayward",0,2,"Hayward_l0.00",0.8849566363184395,-0.9506918674920506,-0.08710390976223757,-0.863587957729813
"Hayward",0,3,"Hayward_l0.00",0.9582398951031745,-0.9831805663617955,-0.19998230545571102,-0.7831982609060845
"Hayward",0,4,"Hayward_l0.00",0.8921697275644889,-0.954691264760249,0.2798774001346735,-1.2345686648949226
"Hayward",0,5,"Hayward_l0.00",0.9010991436207269,-0.965607747495693,0.5556748452639548,-1.5212825927596478
"Hayward",0,6,"Hayward_l0.00",0.9041160929612249,-0.9505024927426224,0.2629916089356039,-1.2134941016782264
"Hayward",0,7,"Hayward_l0.00",0.9198244113815002,-0.9738358758392687,0.26692846649880125,-1.2407643423380699
"Hayward",0,8,"Hayward_l0.00",0.921876776062606,-0.9696308569175013,0.2594693043816791,-1.2291001612991803
"Hayward",0,9,"Hayward_l0.00",0.830063229467627,-0.9199987443744142,-0.23021230320587474,-0.6897864411685395
"Hayward",0,10,"Hayward_l0.00",0.9262076355902121,-0.9717511160396218,0.36758897043037503,-1.339340086469997
"Hayward",0.1,1,"Hayward_l0.10",0.8899555429282472,-0.9539918423623153,0.35337604611491535,-1.3073678884772306
"Hayward",0.1,2,"Hayward_l0.10",0.8903305087416582,-0.9529927419894485,-0.08710390976223757,-0.8658888322272109
"Hayward",0.1,3,"Hayward_l0.10",0.9605130147231352,-0.9837961359839921,-0.19998230545571102,-0.783813830528281
"Hayward",0.1,4,"Hayward_l0.10",0.8907213781059712,-0.9523454822746794,0.2798774001346735,-1.2322228824093528
"Hayward",0.1,5,"Hayward_l0.10",0.9050547488942254,-0.967242031149179,0.5556748452639548,-1.5229168764131338
"Hayward",0.1,6,"Hayward_l0.10",0.9092757423468414,-0.95226132996935,0.2629916089356039,-1.2152529389049538
"Hayward",0.1,7,"Hayward_l0.10",0.9245378870470387,-0.9759166760242445,0.26692846649880125,-1.2428451425230458
"Hayward",0.1,8,"Hayward_l0.10",0.9247052326433314,-0.9708578075394009,0.2594693043816791,-1.23032711192108
"Hayward",0.1,9,"Hayward_l0.10",0.839641698730053,-0.9257168599859168,-0.23021230320587474,-0.6955045567800421
"Hayward",0.1,10,"Hayward_l0.10",0.9296540319475383,-0.9731904835422321,0.36758897043037503,-1.3407794539726072
"Hayward",0.2,1,"Hayward_l0.20",0.9006794092190723,-0.9583990149960734,0.35337604611491535,-1.3117750611109886
"Hayward",0.2,2,"Hayward_l0.20",0.9011061046082861,-0.9578173411874326,-0.08710390976223757,-0.870713431425195
"Hayward",0.2,3,"Hayward_l0.20",0.9671805182491205,-0.9853919625574493,-0.19998230545571102,-0.7854096571017383
"Hayward",0.2,4,"Hayward_l0.20",0.9027024952358802,-0.9577504387957965,0.2798774001346735,-1.23762783893047
"Hayward",0.2,5,"Hayward_l0.20",0.9110372982938977,-0.9688069826217449,0.5556748452639548,-1.5244818278856997
"Hayward",0.2,6,"Hayward_l0.20",0.911011085390021,-0.9519067369541854,0.2629916089356039,-1.2148983458897893
"Hayward",0.2,7,"Hayward_l0.20",0.9378496987998304,-0.9821373691758003,0.26692846649880125,-1.2490658356746016
"Hayward",0.2,8,"Hayward_l0.20",0.9334261676734991,-0.9733333472739958,0.2594693043816791,-1.232802651655675
"Hayward",0.2,9,"Hayward_l0.20",0.8632426427541725,-0.9389338186379576,-0.23021230320587474,-0.7087215154320828
"Hayward",0.2,10,"Hayward_l0.20",0.9338998094705894,-0.9758541251027186,0.36758897043037503,-1.3434430955330936
"Hayward",0.3,1,"Hayward_l0.30",0.9109744976599363,-0.9596808077834001,0.35337604611491535,-1.3130568538983156
"Hayward",0.3,2,"Hayward_l0.30",0.9169886751347657,-0.9644708928983406,-0.08710390976223757,-0.8773669831361031
"Hayward",0.3,3,"Hayward_l0.30",0.974374813913273,-0.9858952535680442,-0.19998230545571102,-0.7859129481123331
"Hayward",0.3,4,"Hayward_l0.30",0.9174828061758058,-0.9636137453289353,0.2798774001346735,-1.2434911454636088
"Hayward",0.3,5,"Hayward_l0.30",0.9343148405749185,-0.9789802962820932,0.5556748452639548,-1.534655141546048
"Hayward",0.3,6,"Hayward_l0.30",0.9242277366469106,-0.9562640790816179,0.2629916089356039,-1.2192556880172218
"Hayward",0.3,7,"Hayward_l0.30",0.9452967581918305,-0.9841590297715722,0.26692846649880125,-1.2510874962703735
"Hayward",0.3,8,"Hayward_l0.30",0.945547206232479,-0.9766647855798006,0.2594693043816791,-1.2361340899614797
"Hayward",0.3,9,"Hayward_l0.30",0.8839996218481083,-0.9485163495800665,-0.23021230320587474,-0.7183040463741918
"Hayward",0.3,10,"Hayward_l0.30",0.9417054175443237,-0.976384749944032,0.36758897043037503,-1.343973720374407
