"{Bin : 1., rMean : 1.215310549223186, EstimatorMean : 1.1631372718508666, EstimatorStd : 0.08006755221654437, Count : 96.}"
"{Bin : 2., rMean : 1.5376493421048572, EstimatorMean : 1.1620008191627624, EstimatorStd : 0.11244723537156409, Count : 67.}"
"{Bin : 3., rMean : 1.876149582333165, EstimatorMean : 1.1695314323554376, EstimatorStd : 0.09528786109859119, Count : 92.}"
"{Bin : 4., rMean : 2.1843550616865244, EstimatorMean : 1.1443823070560204, EstimatorStd : 0.09235729404599453, Count : 67.}"
"{Bin : 5., rMean : 2.5446103629399563, EstimatorMean : 1.1340020906191899, EstimatorStd : 0.08074668092235511, Count : 85.}"
"{Bin : 6., rMean : 2.8612562686146337, EstimatorMean : 1.1296128899923226, EstimatorStd : 0.08582953532416221, Count : 88.}"
"{Bin : 7., rMean : 3.1802313761819305, EstimatorMean : 1.14736481580747, EstimatorStd : 0.0930114222740818, Count : 86.}"
"{Bin : 8., rMean : 3.506730477482377, EstimatorMean : 1.1829107170127016, EstimatorStd : 0.10559094470935389, Count : 80.}"
"{Bin : 9., rMean : 3.8447819632669713, EstimatorMean : 1.168196139909198, EstimatorStd : 0.11784522673426327, Count : 87.}"
"{Bin : 10., rMean : 4.1769189572408125, EstimatorMean : 1.1622464058476478, EstimatorStd : 0.1222125048373742, Count : 96.}"
"{Bin : 11., rMean : 4.486981344255362, EstimatorMean : 1.1698807691965647, EstimatorStd : 0.11617336293456387, Count : 81.}"
"{Bin : 12., rMean : 4.828749466315805, EstimatorMean : 1.1826692834924386, EstimatorStd : 0.11878140350984857, Count : 75.}"
