"Bin","rMean","OllivierMean","OllivierStd","Count","KMean"
1,1.2216305370200178,0.14845683464995382,0.07223252876936347,88,4.1476920077625445
2,1.540357600963669,0.09385000200784392,0.07122988923820626,73,0.9616554539786574
3,1.867478847815435,0.09524107110885748,0.06302390249446518,89,0.2993460551407329
4,2.2025640358787575,0.09536793884607052,0.07360974720099747,84,0.1094081121981452
5,2.531384631331419,0.07508527238271731,0.07718694108574563,70,0.04690632847735483
6,2.858632778258486,0.08950247025116166,0.10086194706834141,91,0.022525754766890813
7,3.1935451688039445,0.08644608595315241,0.07006748057270668,76,0.011534282343781566
8,3.521524351872741,0.07329565860460627,0.08155309765452144,80,0.006388957585565664
9,3.849594702607194,0.09247518351841173,0.08040651232083658,83,0.003731704531521571
10,4.1748854672664,0.1240733348474407,0.07915037706264355,108,0.0022922845490435375
11,4.515711869616939,0.14580405834970095,0.10616508286628815,81,0.0014286932152884496
12,4.82707612125805,0.17524307120103985,0.11559790376381629,77,0.0009567223042265832
