"Bin","rMean","OllivierMean","OllivierStd","Count"
1,1.2216305370200176,0.1505972124007617,0.06980301684203326,88
2,1.540357600963669,0.10308673547251883,0.0765523986391914,73
3,1.867478847815435,0.08215806346687451,0.06756431318420611,89
4,2.2025640358787575,0.08098669487665353,0.07733218245345166,84
5,2.5313846313314197,0.06452211919481503,0.08574743540881481,70
6,2.8586327782584866,0.08954246279504917,0.08991216156775941,91
7,3.1935451688039445,0.07464477539433781,0.06658750305725725,76
8,3.521524351872741,0.05663239866408536,0.0769792304441392,80
9,3.8495947026071953,0.10054932164564986,0.06847512912240421,83
10,4.1748854672664,0.15480578382673307,0.07077760744698738,108
11,4.515711869616938,0.18339454441585232,0.08262164336214167,81
12,4.827076121258049,0.18162023798057,0.09292231762080028,77
